id,chi_m,elevation_m,area_m2
RP-S3,0.004921824751350662,23.0,209829747.49593052
RP-S3,0.011881340774829972,22.0,209826007.22856078
RP-S3,0.016803228695065897,22.0,209823763.06813893
RP-S3,0.02172517978679954,22.0,209817778.64034733
RP-S3,0.026647146671815825,22.0,209816282.53339943
RP-S3,0.03156915304075314,23.0,209812542.2660297
RP-S3,0.038529383752583475,26.0,209778131.80622807
RP-S3,0.04345176132027254,26.0,209777383.75275412
RP-S3,0.048374367970494436,23.0,209755690.20200962
RP-S3,0.055335872306962894,22.0,209692853.71019796
RP-S3,0.06229738781890012,21.0,209692105.656724
RP-S3,0.06925891450636391,20.0,209691357.60325006
RP-S3,0.07622045236941209,23.0,209690609.5497761
RP-S3,0.08318200140810246,25.0,209689861.49630216
RP-S3,0.09014356162249283,25.0,209689113.4428282
RP-S3,0.09710514418845663,25.0,209687617.3358803
RP-S3,0.10406677145826101,26.0,209684625.1219845
RP-S3,0.10899016040774474,25.0,209681632.9080887
RP-S3,0.11391509142207844,25.0,209535762.4806688
RP-S3,0.11884008573385019,24.0,209529778.05287722
RP-S3,0.12580425146335641,26.0,209514816.98339826
RP-S3,0.1327702754006156,27.0,209390640.10672286
RP-S3,0.13973634413367989,25.0,209387647.89282706
RP-S3,0.14466285837081916,27.0,209386151.78587916
RP-S3,0.15162906149686828,27.0,209378671.25113967
RP-S3,0.15655582128037393,26.0,209362962.12818676
RP-S3,0.161485110108184,26.0,209124333.0699973
RP-S3,0.16641451002438065,26.0,209113860.32136205
RP-S3,0.17134446550353993,25.0,209061496.57818568
RP-S3,0.178315546023101,26.0,209053267.98997223
RP-S3,0.1852867275704737,25.0,209046535.5087067
RP-S3,0.19021689739212946,24.0,209041299.13438904
RP-S3,0.19514721806539562,24.0,209027086.11838403
RP-S3,0.20011546440450304,23.0,205497769.82829666
RP-S3,0.20508396305589324,24.0,205474580.17060426
RP-S3,0.21005257566830055,24.0,205464107.421969
RP-S3,0.2150211964211028,27.0,205463359.36849505
RP-S3,0.21998984159534773,32.0,205461115.2080732
RP-S3,0.23891159314642957,25.0,3526324.0761915725
RP-S3,0.22701574761048407,38.0,205445406.0851203
RP-S3,0.23198459631179388,44.0,205442413.8712245
RP-S3,0.23695351014743826,54.0,205436429.4434329
RP-S3,0.24192247283563906,58.0,205431941.1225892
RP-S3,0.24689164723613627,64.0,205412491.73226655
RP-S3,0.2518608379233987,70.0,205410995.62531865
RP-S3,0.2568300367541082,72.0,205410247.5718447
RP-S3,0.26179934145354333,76.0,205400522.87668338
