id,chi_m,elevation_m,area_m2
26,7.245397858537988,344.0,1024085.2058350164
26,7.191407640601251,344.0,1037550.1683660832
26,7.115512908170973,338.0,1039046.2753139795
26,7.061873914471431,338.0,1051763.184371098
26,6.986442431257378,341.0,1071960.628167698
26,6.911653856669171,335.0,1075700.8955374386
26,6.858845198381561,332.0,1120584.1039743274
26,6.7855347753362585,331.0,1122828.2643961718
26,6.7122903239925416,332.0,1149758.189458305
26,6.639822903735445,330.0,1158734.8311456828
26,6.5676086539769,326.0,1163971.2054633198
26,6.444778419471181,323.0,1176688.1145204382
26,6.495540777587572,324.0,1174443.954098594
26,6.272528967516729,312.0,1224563.5368531195
26,6.322386778719773,310.0,1222319.3764312752
26,6.373062079638383,318.0,1178932.2749422826
26,6.152448524067129,313.0,1236532.3924362897
26,6.202088190823803,311.0,1234288.2320144454
26,5.983198073023889,305.0,1253737.622337097
26,6.032743263617037,307.0,1239524.6063320823
26,6.08231538826585,311.0,1238028.499384186
26,5.864496458568318,303.0,1271690.9057118527
26,5.913499684786119,304.0,1270194.7987639564
26,5.697378633961008,289.0,1306849.4189874155
26,5.746291223926117,292.0,1275431.1730815934
26,5.795242591810313,300.0,1273187.012659749
26,5.648998749711342,287.0,1322558.5419403266
26,5.600878306924969,285.0,1333031.2905756007
26,5.552928355964771,287.0,1341259.8787890302
26,5.505111006216205,287.0,1345000.146158771
26,5.457353540468111,288.0,1360709.269111682
26,5.409844974930951,288.0,1365197.5899553709
26,5.34276733858547,286.0,1366693.6969032672
26,5.295352498966006,279.0,1445239.3116678228
26,5.22997281202133,278.0,1448979.5790375634
26,5.164669123454903,276.0,1451971.792933356
26,5.118528321209755,271.0,1604574.7016187785
26,5.056154297900758,269.0,1617291.610675897
26,4.994001457422807,269.0,1631504.6266809118
26,4.950218853953277,269.0,1635992.9475246007
26,4.906490343918953,269.0,1643473.4822640822
26,4.86285151307663,269.0,1650954.0170035637
26,4.819301771497172,269.0,1654694.2843733043
26,4.775796355369514,267.0,1666663.1399564748
26,4.714478888126658,265.0,1674891.7281699043
26,4.671210343250282,263.0,1677883.942065697
26,4.627976538280797,261.0,1680876.1559614895
26,4.5847773835029315,259.0,1858164.8292872007
26,4.543484195257435,260.0,1859660.936235097
26,4.485116770015648,259.0,1861157.0431829933
26,4.426770463061656,255.0,1868637.5779224748
26,4.385581577938011,251.0,1885094.7543493342
26,4.344554896534494,251.0,1885842.8078232822
26,4.303535539217034,248.0,1886590.8612972302
26,4.262523501774257,244.0,1894071.3960367118
26,4.221584432349823,239.0,2395267.223581972
26,4.184749741026581,235.0,2430425.736857535
26,4.148155793406412,235.0,2445386.806336498
26,4.111662763926816,235.0,2466332.303607046
26,6.66466103636598,300.0,1006879.975934209
26,4.0753095254027505,236.0,2473812.8383465274
26,6.610257597156679,300.0,1009124.1363560534
26,4.039005795745449,235.0,2474560.8918204755
26,6.533408164737085,298.0,1012864.4037257942
26,4.002707005035141,231.0,2487277.800877594
26,6.479149608526471,300.0,1033809.9009963423
26,3.9514987709649336,228.0,2503734.977304453
26,6.425388525033687,297.0,1039794.3287879275
26,3.9004422790580042,229.0,2529916.8488926385
26,6.29625549038092,295.0,1063732.0399542684
26,6.349567547112777,296.0,1053259.2913189942
26,3.864503070354537,227.0,2535153.2232102756
26,6.221207127432742,295.0,1069716.4677458536
26,3.8137322903433057,226.0,2544129.8648976535
26,6.146347988935478,292.0,1083181.4302769203
26,3.763042200928512,222.0,2546374.025319498
26,6.071909047458078,291.0,1101134.713651676
26,3.727207702170401,219.0,2554602.613532928
26,6.019652812266521,291.0,1101882.767125624
26,3.6766112316000257,216.0,2565823.41564215
