id,chi_m,elevation_m,area_m2
RP-S3u,0.006524238731026365,213.0,112165382.04420744
RP-S3u,0.013048692855232077,213.0,112157153.45599401
RP-S3u,0.019573244893003387,213.0,112153413.18862426
RP-S3u,0.026097953602328423,212.0,112147428.76083268
RP-S3u,0.03262379854306868,211.0,112104041.65934369
RP-S3u,0.03926679938272136,211.0,107757850.97570495
RP-S3u,0.07246823786499292,213.0,4343946.523216899
RP-S3u,0.10065331972504801,214.0,4341702.362795054
RP-S3u,0.12884058712462382,214.0,4340954.3093211055
RP-S3u,0.04591210498513743,213.0,107674817.04009672
RP-S3u,0.16870356625057062,214.0,4339458.202373209
RP-S3u,0.19695225134811095,215.0,4320008.812050557
RP-S3u,0.2252031379182724,216.0,4319260.758576608
RP-S3u,0.2534562265139708,218.0,4318512.70510266
RP-S3u,0.05255745213844479,211.0,107673320.93314882
RP-S3u,0.2934154394748737,221.0,4316268.544680815
RP-S3u,0.059202986281123145,212.0,107666588.45188329
RP-S3u,0.333449672426515,224.0,4298315.26130606
RP-S3u,0.3617957485050667,223.0,4287094.459196837
RP-S3u,0.3901440506084184,222.0,4286346.405722888
RP-S3u,0.4185124123158356,223.0,4279613.9244573545
RP-S3u,0.06584862431411148,212.0,107662848.18451354
RP-S3u,0.4586379028939173,223.0,4276621.710561562
RP-S3u,0.48704203934313417,223.0,4267645.068874185
RP-S3u,0.5154798469901913,224.0,4256424.266764963
RP-S3u,0.07249447014342066,213.0,107655367.64977406
RP-S3u,0.5557100024223115,226.0,4251935.945921274
RP-S3u,0.5841680746328897,227.0,4249691.785499429
RP-S3u,0.07914058613924901,213.0,107645642.95461273
RP-S3u,0.6244749050016812,227.0,4233982.662546518
RP-S3u,0.08578676448622302,213.0,107643398.79419088
RP-S3u,0.6648395516334625,229.0,4220517.700015452
RP-S3u,0.693447666437486,228.0,4200320.256218852
RP-S3u,0.7221874364301141,227.0,4157681.208203807
RP-S3u,0.09243306754114305,213.0,107638910.4733472
RP-S3u,0.7629013743710394,226.0,4140475.978303
RP-S3u,0.10183558744319382,214.0,107520718.02446339
RP-S3u,0.8036186228218534,229.0,4139727.924829052
RP-S3u,0.28369498887459743,217.0,1829738.7972771712
RP-S3u,0.2421143432372241,216.0,1873125.8987661637
RP-S3u,0.2009699003508156,216.0,1880606.4335056453
RP-S3u,0.15989918576237838,216.0,1881354.4869795933
RP-S3u,0.10853827344454461,215.0,105637119.37706195
RP-S3u,0.8443458080090034,230.0,4137483.7644072077
RP-S3u,0.3842586631679867,218.0,1817769.941694001
RP-S3u,0.3425550379435316,218.0,1825250.4764334825
RP-S3u,0.11524113032356297,216.0,105631134.94927037
RP-S3u,0.8731791424176873,229.0,4127759.069245882
RP-S3u,1.013121618836488,235.0,4076891.433017408
RP-S3u,1.0421354640876483,235.0,4070907.005225823
RP-S3u,1.074199440513416,234.0,3260017.039466029
RP-S3u,1.1062932594963455,234.0,3253284.558200496
RP-S3u,0.784575998471097,217.0,1615047.4502540529
RP-S3u,0.7405931914302976,217.0,1621031.878045638
RP-S3u,0.6966835265962489,216.0,1703317.7601799346
RP-S3u,0.6537414276362239,215.0,1713790.5088152087
RP-S3u,0.6109176138337266,216.0,1784107.5353663347
RP-S3u,0.5688617207734769,217.0,1790840.016631868
RP-S3u,0.5268770485983705,218.0,1805053.0326368827
RP-S3u,0.4850414644548628,218.0,1810289.4069545197
RP-S3u,0.44326037910212635,218.0,1815525.7812721566
RP-S3u,0.12194400856327675,217.0,105630386.89579642
RP-S3u,0.9141505564216605,229.0,4082875.860808993
RP-S3u,0.943133266500109,231.0,4080631.7003871487
RP-S3u,0.9721231520627134,234.0,4078387.539965304
RP-S3u,1.1517634201150342,235.0,3239071.542195481
RP-S3u,0.8474806262088217,217.0,1574652.562660853
