id,chi_m,elevation_m,area_m2
20,4.165580621550692,84.0,1232792.12506655
20,4.04580662276408,80.0,1244760.9806497202
20,4.095351813357228,83.0,1239524.6063320832
20,3.730575976167408,80.0,1285903.9217168682
20,3.7793984678443597,81.0,1280667.5473992312
20,3.8283627837328775,80.0,1272438.9591858017
20,3.877431082512983,78.0,1266454.5313942165
20,3.9266040790996706,79.0,1260470.1036026313
20,3.9758824967526114,80.0,1254485.675811046
20,3.661667618831448,77.0,1411576.905340157
20,3.6149372426493827,79.0,1413821.0657620013
20,3.5489077090269614,78.0,1428034.081767016
20,3.436763963780657,77.0,1437758.776928342
20,3.4831747210877158,78.0,1433270.456084653
20,3.3712314210789116,76.0,1442995.151245979
20,3.305805998074466,74.0,1450475.6859854604
20,3.259643785334639,69.0,1456460.1137770454
20,3.154538454625884,69.0,2008523.5775507796
20,3.194491243542443,69.0,1999546.9358634017
20,3.0981589687595843,71.0,2079588.6575758536
20,3.0589056415931726,71.0,2086321.138841387
20,2.9643677711275167,70.0,2099038.0478985053
20,3.0034821081328764,69.0,2096045.8340027127
20,2.9090955914266394,69.0,2108762.743059831
20,2.7761327066886747,68.0,2139432.9354917053
20,2.8149737537670187,67.0,2128960.1868564314
20,2.8539382585818784,66.0,2113999.1173774684
20,2.6438888407343084,67.0,2147661.523705135
20,2.6826016038744416,68.0,2144669.3098093425
20,2.721332609746346,69.0,2142425.149387498
20,2.513440861417505,62.0,2265853.972588943
20,2.5512922808833722,64.0,2254633.1704797205
20,2.589183326466268,66.0,2249396.7961620833
20,2.4600383884724164,62.0,2295028.0580729204
20,2.406942470732583,61.0,2312981.341447676
20,2.3169570818508234,57.0,2366093.138097995
20,2.3540324083831417,56.0,2360856.763780358
20,2.2645848109907174,56.0,2372825.619363528
20,2.1384646121392517,53.0,2395267.2235819725
20,2.1753459884086928,55.0,2388534.7423164393
20,2.2122794611395054,56.0,2381054.207576958
20,2.049623054213158,55.0,2419952.988222261
20,2.0863803586081877,52.0,2406488.0256911945
20,1.9977785634033045,52.0,2443890.699388602
20,1.9612754824394627,52.0,2488025.8543515424
20,1.9100741772961722,50.0,2491018.068247335
20,1.8230613206866595,50.0,2553106.5065850313
20,1.8589005576820667,49.0,2545625.97184555
20,1.7724515100964948,48.0,2559090.9343766165
20,0.5511644930704952,24.0,3881649.476316943
20,0.5809673665667716,23.0,3835270.1609321577
20,1.7218949917095772,48.0,2562831.201746357
20,0.5092505624810267,22.0,3883145.583264839
20,0.6275783925268592,24.0,3065523.1362395124
20,0.6606040646213077,25.0,3052806.227182394
20,1.6363936642120755,45.0,2691496.399265439
20,1.6713716892754982,45.0,2687008.07842175
20,0.46734389957314715,22.0,3883893.636738787
20,0.7073229767541303,26.0,3049814.0132866013
20,0.7403741721070983,27.0,3047569.8528647567
20,0.773429018831007,27.0,3046821.7993908087
20,1.5520288429840878,42.0,2721418.5382233644
20,1.5869718686224101,45.0,2692992.506213335
20,0.4254408689836887,21.0,3884641.690212735
20,0.8203086726911345,27.0,3026624.3555942085
20,1.5028523188389273,43.0,2730395.179910742
20,0.3835414696983744,21.0,3885389.743686683
20,0.8535626448939462,27.0,3006426.9117976082
20,1.349760271492985,39.0,2746104.3028636537
20,1.3844102871395287,39.0,2743860.142441809
20,1.419073063221501,40.0,2741615.9820199646
20,1.453748614893297,41.0,2739371.82159812
20,0.3416457007034056,21.0,3886137.797160631
20,0.9006576564151915,29.0,2995954.1631623344
20,0.9339751209630073,30.0,2993710.00274049
20,0.9673075817450189,31.0,2990717.788844697
20,1.000647548804996,31.0,2989221.681896801
20,1.2318498233760535,36.0,2783506.9765610606
20,1.266314407855405,37.0,2776774.4952955274
20,1.3007831712390658,37.0,2776026.4418215794
20,0.18201109197593876,23.0,3951218.4493941194
20,0.2114221986989977,24.0,3949722.3424462234
20,0.24083581239471044,23.0,3948974.2889722753
20,0.27027704831378857,24.0,3940745.7007588455
20,0.2997535609854619,24.0,3930272.9521235717
20,1.0478274715408404,32.0,2983985.307579164
20,1.0812617290480049,32.0,2970520.3450480974
20,1.1151925962306448,32.0,2874769.5003827345
20,1.149147329448548,33.0,2870281.179539046
20,1.1831699779925449,35.0,2857564.2704819273
20,0.14043087386857014,23.0,3963187.30497729
20,0.09890721042197309,23.0,3963935.358451238
20,0.05738707341779289,20.0,3966927.5723470305
20,0.028033437718804455,18.0,4394066.105971424
