id,chi_m,elevation_m,area_m2
10,2.2150793515384914,30.0,1107119.1414432607
10,2.1629504155846693,30.0,1107867.1949172087
10,2.110837321885074,29.0,1109363.301865105
10,2.058755866210373,27.0,1114599.676182742
10,2.0067846582227133,26.0,1117591.8900785346
10,1.6590658129774545,25.0,3533804.610931056
10,1.690034317083878,26.0,3521835.7553478857
10,1.7210057816773965,26.0,3521087.7018739376
10,1.9333859743090973,27.0,1120584.1039743272
10,1.6153431513720065,25.0,3537544.8783007967
10,1.7648078087400374,27.0,3519591.5949260416
10,1.8815398476858285,27.0,1134049.066505394
10,2.0098782961972823,26.0,2330934.624822432
10,2.0471724286793536,28.0,2330186.571348484
10,1.5716412985227366,25.0,3540537.0921965893
10,1.8086224096786219,27.0,3517347.434504197
10,1.8456977362109404,26.0,2360856.7637803582
10,1.8827942278172791,26.0,2357864.5498845656
10,1.9199544490226181,27.0,2348887.908197188
10,1.9571520091549055,26.0,2343651.5338795506
10,2.09992157522472,30.0,2328690.464400588
10,0.8728721605013934,18.0,3954958.716763863
10,0.9022882818584528,19.0,3948226.2354983296
10,0.9317320330356473,21.0,3939997.6472849
10,0.9611808168070274,20.0,3938501.540337004
10,0.9908357797326582,19.0,3877909.2089472036
10,1.0204958925298575,20.0,3876413.1019993075
10,1.5279560697227632,25.0,3554750.1082016043
10,2.1531033827917088,29.0,2286799.4698594916
10,0.7222319300107275,17.0,39188277.33972173
10,0.7327052254187412,17.0,39180796.80498225
10,0.7431788807743576,17.0,39177804.59108646
10,0.7725424854449234,17.0,3963935.35845124
10,0.8019185666850284,17.0,3960195.0910814996
10,0.8313096423815015,18.0,3955706.770237811
10,1.0624608108658102,20.0,3871176.7276816703
10,1.092141552004846,21.0,3870428.6742077223
10,1.4843495278427097,26.0,3583924.193685582
10,2.206308692668917,30.0,2284555.309437647
10,2.24398621609824,31.0,2277822.8281721137
10,2.2888394145489013,32.0,1546226.5306508236
10,2.333702381273204,32.0,1545478.4771768756
10,2.3786437417660298,33.0,1539494.0493852904
10,2.423594932550158,32.0,1538745.9959113423
10,2.468774150116193,32.0,1521540.766010535
10,2.5139733727489793,33.0,1520044.6590626386
10,2.559283135810206,33.0,1511816.070849209
10,0.7074239624720308,17.0,39189773.44666963
