id,chi_m,elevation_m,area_m2
34,7.298207033479307,97.0,1079441.1629071792
34,7.223652133368168,99.0,1093654.178912194
34,7.149534810524381,98.0,1095150.2858600903
34,7.097150268950038,96.0,1283659.7612950238
34,7.028187726533319,92.0,1300116.9377218832
34,6.979695264464954,89.0,1306849.4189874164
34,6.704124708511173,137.0,1000147.4946686757
34,6.9112861081359265,88.0,1317322.1676226906
34,6.649556776057225,137.0,1827494.6368553287
34,6.843122223699655,90.0,1377914.4990124905
34,6.590729263999036,137.0,1845447.9202300843
34,6.776323877541652,90.0,1413821.0657620016
34,6.5321599787156375,137.0,1879110.3265577508
34,6.7296268947818065,90.0,1414569.1192359496
34,6.474065186077249,137.0,1899307.7703543508
34,6.682941026088064,89.0,1437010.7234543941
34,6.433176946105617,134.0,1903048.0377240914
34,6.617393134389039,89.0,1437758.7769283422
34,6.392324888647565,131.0,1913520.7863593656
34,6.571047630356687,88.0,1447483.472089668
34,6.334702560863729,128.0,1937458.4975257064
34,6.5057135766103995,87.0,1471421.183256009
34,6.277401699847036,126.0,1989074.1872281288
34,6.4598482310173235,88.0,1472169.236729957
34,6.237354387006106,126.0,2007775.5240768325
34,6.39500946375041,83.0,1482641.9853652308
34,6.18096544951176,126.0,2012263.8449205214
34,6.349300645879339,82.0,1483390.0388391789
34,6.141126479090336,124.0,2014508.0053423657
34,6.303602202098668,82.0,1882850.5939274905
34,6.101307486053186,122.0,2019744.3796600027
34,6.262553523127759,83.0,1896315.5564585573
34,6.045069164860165,116.0,2021988.540081847
34,6.221636262674242,83.0,1932970.1766820166
34,5.988858940196729,113.0,2084825.0318934915
34,6.164275566652779,80.0,1940450.7114214979
34,5.9334175124630315,111.0,2153645.9514967212
34,6.107014484095012,80.0,1945687.0857391348
34,5.894777444375618,111.0,2162622.593184099
34,6.066567748712759,78.0,1947183.192687031
34,5.856209633311911,111.0,2165614.8070798917
34,6.026135000943438,75.0,1949427.3531088755
34,5.801708669061212,109.0,2167858.9675017362
34,5.968992722044602,72.0,1997302.7754415572
34,5.763182807412506,106.0,2176087.555715166
34,5.912470923337886,73.0,2004035.2567070904
34,5.724722570277746,103.0,2185064.197402544
34,5.856034650997225,73.0,2144669.3098093425
34,5.686333514386504,100.0,2261365.651745255
34,5.8173218878570925,73.0,2145417.3632832905
34,5.6485328471373375,100.0,2266602.0260628923
34,5.778615199477808,70.0,2166362.860553839
34,5.610771502607768,101.0,2268098.1330107884
34,6.2772802121619105,52.0,1140781.5477709274
34,5.72412270475861,70.0,2197781.106459661
34,5.573021368954531,100.0,2269594.2399586844
34,6.204556738989854,50.0,1147514.0290364607
34,5.685833766288371,67.0,2203017.480777298
34,5.519658516993191,99.0,2300264.4323905585
34,6.132025577887922,48.0,1171451.7402028013
34,5.647585808833414,70.0,2206757.7481470387
34,5.482146853124739,99.0,2301760.5393384546
34,6.837381257478276,162.0,1142277.6547188235
34,6.88887310634437,163.0,1137789.3338751346
34,6.081204913164326,48.0,1174443.954098594
34,5.609367037158515,70.0,2229199.352365483
34,5.4446461631055065,98.0,2302508.5928124026
34,6.764700662312918,159.0,1229799.911170757
34,6.961812199066432,164.0,1133301.0130314457
34,7.013799110698009,166.0,1113851.6227087937
34,7.065833225160909,167.0,1111607.4622869494
34,7.118009781152829,168.0,1104874.9810214161
34,7.170588700381511,174.0,1086173.6441727125
34,7.223200242431387,185.0,1084677.5372248162
34,7.27582812036967,186.0,1083929.4837508681
34,7.328537923634918,185.0,1080189.2163811275
34,6.009426938787748,46.0,1191649.1839994013
34,5.571321886050641,68.0,2236679.8871049643
34,5.407150956133209,97.0,2331682.6782963807
34,6.694395012648182,161.0,1297872.7773000384
34,5.938117184080212,46.0,1192397.2374733493
34,5.533334046285167,67.0,2241168.207948653
34,5.3698675938287925,99.0,2343651.533879551
34,6.577280881673945,157.0,1302361.098143727
34,6.62577334374231,161.0,1300116.9377218827
34,5.866827564208019,45.0,1255233.7292849936
34,5.479667675412992,67.0,2248648.7426881343
34,5.332670033696505,97.0,2375069.7797853732
34,5.402806476812432,102.0,1582881.1508742818
34,5.44719870711984,106.0,1582133.0974003337
34,5.491619302066507,111.0,1579888.9369784894
34,5.536096801940895,118.0,1575400.6161348005
34,5.58059332239084,122.0,1573904.5091869042
34,6.508765734544991,152.0,1311337.7398311049
34,9.338418882314022,172.0,1006879.9759342086
34,5.817562364030211,46.0,1267202.584868164
34,5.4260817170429405,66.0,2272586.453854475
34,5.295694712621924,94.0,3966927.572347033
34,5.340049214031129,97.0,1585125.311296126
34,5.643782407887191,128.0,1558943.4397079411
34,5.688509239194601,131.0,1555951.2258121485
34,5.886529190843316,139.0,1530517.4076979116
34,5.93163861468088,142.0,1526777.140328171
34,5.976757987785602,143.0,1526029.086854223
34,6.02190725117161,144.0,1523784.9264323786
34,6.067888488055405,144.0,1463192.5950425786
34,6.11390149578844,144.0,1460948.4346207343
34,6.4604604360659845,152.0,1312085.793305053
34,9.28401544310472,170.0,1086173.6441727125
34,5.768507102038818,46.0,1271690.905711853
34,5.3883651517817945,62.0,2295776.1115468675
34,5.266341076922936,94.0,3977400.3209823067
34,5.751821510825635,137.0,1552210.958442408
34,5.796625970496632,138.0,1549966.7980205636
34,5.841469407523692,138.0,1546974.584124771
34,6.179069101558913,144.0,1455712.0603030974
34,6.2255673255819595,146.0,1427286.0282930676
34,6.272120486816402,148.0,1423545.760923327
34,6.318717748737593,146.0,1420553.5470275343
34,6.365392511884122,147.0,1415317.1727098974
34,6.412167532566113,148.0,1408584.6914443641
34,9.231436523876036,170.0,1093654.178912194
34,5.7195298271038775,46.0,1272438.959185801
34,5.350820504174352,61.0,2319713.8227132084
34,5.237022246940008,94.0,3994605.5508831143
34,9.17901974675879,169.0,1099638.6067037792
34,5.67056551121536,43.0,1278423.3869773862
34,5.297979599205516,61.0,2333178.785244275
34,5.195645868442197,93.0,4003582.192570492
34,9.755598725428655,190.0,1003887.762038416
34,9.126731529915844,167.0,1101882.7671256235
34,8.647761087545224,122.0,1184168.6492599202
34,5.601476001076471,42.0,1283659.7612950231
34,5.2607069970630365,59.0,2336919.0526140155
34,5.166413474340569,93.0,4023031.582893144
34,9.678569166775771,192.0,1008376.0828821049
34,9.052863790987244,167.0,1118339.9435524829
34,8.597186747938409,122.0,1186412.8096817646
34,5.532513458659752,43.0,1568668.134869268
34,5.223461251609757,60.0,2341407.373457704
34,5.137244760949488,93.0,4023779.636367092
34,9.624202065168948,191.0,1010620.2433039494
34,9.00097087260047,164.0,1123576.3178701198
34,8.5466554795223,119.0,1203618.039582572
34,0.003582854858249061,4.0,424917562.860243
34,5.46950095321707,42.0,1981593.6524886463
34,5.1862476520280465,60.0,2360108.710306408
34,5.108078487899019,91.0,4026023.7967889365
34,9.547403848639808,188.0,1016604.6710955346
34,8.927748369352495,163.0,1128812.6921877568
34,8.496450544149303,121.0,1205862.2000044163
34,0.007166019142363271,4.0,424836025.03158265
34,5.429385680320342,42.0,1982341.7059625944
34,5.14916703787514,60.0,2378810.0471551116
34,5.078919531925105,87.0,4035000.4384763143
34,9.493235215538752,184.0,1021092.9919392235
34,8.876072656738918,155.0,1130308.799135653
34,8.425520247725453,119.0,1211846.6277960013
34,0.01074938218574741,4.0,424783661.2884063
34,5.389277220158134,41.0,1991318.347649972
34,5.096920942646251,59.0,2380306.1541030076
34,5.037730070086387,86.0,4056693.9892208106
34,9.439173858997504,178.0,1031565.7405744976
34,8.82442773504644,149.0,1137789.3338751344
34,8.37546900377972,117.0,1217083.0021136382
34,0.014332887221791171,4.0,424746258.6147089
34,5.349250223108877,41.0,1992814.4545978683
34,5.044689627309216,57.0,2440898.485492808
34,5.008670525075412,84.0,4065670.6309081884
34,9.385360176453752,178.0,1032313.7940484458
34,8.700782985622427,145.0,1178184.2214683343
34,8.751618260749783,146.0,1170703.6867288528
34,8.325514777887326,114.0,1232792.1250665493
34,0.023246838513034787,4.0,56060623.4446223
34,0.019733815619026766,4.0,368595120.6997389
34,5.2926711742350845,41.0,1995058.6150197126
34,5.0081664165845545,57.0,2464836.1966591487
34,4.979639870024116,82.0,4067166.7378560845
34,9.33156404534814,174.0,1052511.2378450457
34,8.650093208573601,145.0,1178932.2749422824
