id,distance_km,elevation_m,drainage_area_m2,x_coord,y_coord,chi,slope
3113,12.23035271,261,517653.004,252814.1172,6229002.01,28.132895822848226,10.20343090364655
3114,12.23418179,195,18363964.73,246851.6938,6230314.837,28.134162541342565,-0.6377144314774162
3115,12.23505701,264,389735.8599,254619.2546,6229740.475,28.135496801667944,-63.983912616130866
3116,12.23505701,251,2387786.689,253361.1286,6228974.66,28.138779706332453,12.529783912580669
3117,12.23992541,203,317922.7264,248985.038,6230013.981,28.148376148246857,7.660687268112487
3118,12.24080062,207,2315225.502,246414.0847,6230861.849,28.154098711467118,-1.3143320743623539
3119,12.24829468,214,602931.1,249914.9572,6229466.97,28.165884931671943,-1.488000340114259
3120,12.25020922,221,837819.8908,251774.7957,6229767.826,28.167953246515122,-3.65623073949924
3121,12.25020922,221,149610.6948,251774.7957,6229822.527,28.170006081544013,-50.273074198597506
3122,12.25108444,265,237132.9512,254646.6052,6229931.929,28.17167463790071,4.570279472599773
3123,12.25108444,217,141382.1066,250133.7618,6229357.568,28.17206945966388,390.00609384098317
3124,12.25124854,201,149610.6948,249012.3885,6230178.084,28.17656002749394,-19.325791051638838
3125,12.25299898,254,192249.7428,254072.2433,6229111.412,28.186416588596398,1.2754288629548325
3126,12.25595284,195,487730.865,248355.9749,6229494.32,28.19169354293741,2.8727527238908954
3127,12.25682806,243,140634.0531,251993.6003,6230533.642,28.19591511328073,-37.70502105200816
3128,12.25770327,261,513164.6831,252814.1172,6228974.66,28.202251600288964,9.990880664245458
3129,12.26153235,196,18249512.55,246851.6938,6230287.487,28.203521887550238,-0.8502859086365551
3130,12.26240757,265,388987.8065,254646.6052,6229740.475,28.204857301913837,-61.698772879840476
3131,12.26240757,250,2338415.16,253361.1286,6228947.309,28.20616052786849,2.08927470828528
3132,12.26432211,261,1031565.741,254455.1512,6230287.487,28.208044007114104,3.65623073949924
3133,12.26432211,243,14232465.4,254427.8007,6229111.412,28.208622180886845,29.772164593093525
3134,12.26623665,204,114333241.0,251391.8878,6229658.424,28.208971467773047,13.541603190403443
3135,12.26727597,203,315678.566,249012.3885,6230013.981,28.210713511276104,8.65950813992365
3136,12.26727597,195,1986081.973,248301.2738,6229521.671,28.210713511276104,inf
3137,12.26727597,191,7934603.198,247453.4063,6229494.32,28.212905208195327,-0.3584537738013743
3138,12.27285549,197,112208.0211,246824.3432,6230287.487,28.24035971929629,-3.111684179614571
3139,12.27755979,223,825851.0352,251802.1463,6229767.826,28.24642652786865,-3.5845441624804923
3140,12.278435,217,139885.9996,250133.7618,6229330.217,28.251054958589826,7.834821078795132
3141,12.27947432,208,2312233.288,246386.7342,6230834.498,28.252364804494487,-19.325791051638838
3142,12.28034954,254,191501.6893,254072.2433,6229084.062,28.260401671287244,3.133912062429409
3143,12.2833034,196,486982.8115,248355.9749,6229466.97,28.269529568742225,5.892271153252549
3144,12.28696838,215,597694.7257,249887.6067,6229439.619,28.27654656269806,-4.839125946316975
3145,12.28888292,223,146618.4809,251802.1463,6229849.878,28.281078141397497,9.92405486435508
3146,12.28888292,196,18248764.5,246851.6938,6230260.136,28.281314478647428,-49.13050433034545
3147,12.28975814,266,236384.8978,254673.9557,6229959.28,28.282985409048187,-78.83732090218224
3148,12.28975814,265,388239.753,254673.9557,6229740.475,28.282985409048187,inf
3149,12.28975814,252,2336919.053,253361.1286,6228919.958,28.283097143971215,383.9122486289733
3150,12.28992224,202,137641.8392,249039.7391,6230205.435,28.287759406648338,-4.70086809364188
3151,12.29167268,261,1026329.366,254482.5018,6230287.487,28.289485396323357,-22.851397362951374
3152,12.29167268,242,14230221.23,254455.1512,6229111.412,28.290063611125593,29.772164593065238
3153,12.29358722,204,114325012.4,251391.8878,6229631.073,28.290412909324615,16.927003988004305
3156,12.29462654,192,7832119.872,247453.4063,6229466.97,28.290823560993726,-0.9621675711043117
3154,12.29462654,205,293236.9618,249012.3885,6229986.631,28.290823560993726,-inf
3155,12.29462654,195,1984585.866,248273.9232,6229521.671,28.292106373838795,-31.420850876608167
3157,12.29637697,260,510172.4692,252841.4678,6228947.309,28.307176739536395,-1.97149752263401
3158,12.30578557,217,108467.7537,250133.7618,6229302.866,28.345877693739343,4.482734468025482
3159,12.31065397,196,486234.7581,248355.9749,6229439.619,28.353804075819767,3.30801828811836
3160,12.31152919,198,110711.9141,246796.9927,6230260.136,28.36878985680936,-5.1975797201199265
3161,12.31623349,225,822110.7679,251829.4969,6229740.475,28.373915476299796,-5.739429883296746
3162,12.31623349,225,132405.4649,251829.4969,6229849.878,28.373915476299796,inf
3163,12.31623349,195,18247268.39,246851.6938,6230232.786,28.37415181956899,-47.98848276412828
3164,12.3171087,267,234140.7373,254701.3063,6229959.28,28.375829918782344,-79.98080460688047
3165,12.3171087,265,384499.4856,254701.3063,6229740.475,28.376081629644045,396.07580281588594
3166,12.31727281,202,125672.9836,249039.7391,6230232.786,28.378718353211504,55.80518218469767
3167,12.31814803,207,2226955.192,246359.3836,6230807.148,28.37993634563509,-22.280239712527127
3168,12.31902324,241,14187582.19,254482.5018,6229111.412,28.380201027081835,-55.98656322481632
3169,12.31902324,256,178784.7803,254044.8927,6229056.711,28.38659559444583,16.58846390824422
3170,12.3219771,192,7831371.819,247453.4063,6229439.619,28.38845441721704,-0.8502859086368838
3171,12.32372754,260,501943.881,252841.4678,6228919.958,28.393440354248764,-6.548466840201825
3172,12.32564208,216,591710.2979,249860.2561,6229412.269,28.39938349350389,1.2754288629548325
