
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-9,250,0.7824465736796715,0.8176885650941634,0.7297666136118413,0.8353311550865138,0.2651001786202278,0.7604874833371055,0.7732177516645079,0.727213791075023,0.7725414154408784,0.7911515050826485,0.8706151570725855,0.7802406462997414,0.7887473732608475
CT-10,203,0.7353856400295571,0.7589416460409931,0.8178932959718621,0.7626148611235238,0.06140676092579364,0.8183366247509022,0.8398545114732425,0.7993618905020918,0.8183431521580559,0.8295586592969862,0.7802406462997414,0.8452599113038102,0.8304361335400687
CT-11,215,0.7364435748188816,0.7700901969188626,0.8061109460929655,0.7750426886997326,0.1129816733962895,0.8086795836798405,0.8304382240391677,0.7902042298799636,0.8134755233124144,0.8286406186032981,0.7887473732608475,0.8304361335400687,0.8329481477114875

Likeness
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-Ter-2,308,1.0,0.7906989611609693,0.7012662706720731,0.766334915800877,0.3015591948845414,0.7296817203123028,0.6951264883536068,0.7155911064287817,0.7197476885406173,0.7071598897699111,0.7593398610714562,0.6984986974136513,0.705150725973388
CT-Ter-10,307,0.7906989611609693,1.0,0.7431527960010316,0.7742363939838033,0.2646520410038472,0.7629829461546185,0.7379214573429342,0.731624773990724,0.7405637379222318,0.7579086899056644,0.8022798065992316,0.743714674245632,0.7498111963146427
CT-1,152,0.7012662706720731,0.7431527960010316,1.0,0.78750005305832,0.11735807321677283,0.9661609537981017,0.9558612616851555,0.9553330299675553,0.9422377459700629,0.951811131852047,0.787078269650427,0.9478834351156065,0.9570545507005122
CT-2,251,0.766334915800877,0.7742363939838033,0.78750005305832,1.0,0.16769033394546462,0.8187036506816765,0.7872984654623747,0.8036793344951821,0.8111307718643548,0.8030468591472656,0.9196685724140427,0.7868300231169048,0.7936682989715134
