CT-Ter-2,,CT-Ter-10,,CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
8.93,1.22,14.2,3.2,18.1,0.7,8.5,0.47,304.8,11.0,7.4,0.85,9.2,1.0,7.35,0.35,7.5,0.7,9.3,0.38,9.78,0.84,10.2,0.9,9.32,0.5
8.93,1.01,14.2,1.6,18.2,0.6,8.51,0.64,304.9,13.7,7.44,0.44,9.2,0.5,7.4,0.48,7.5,0.5,9.38,0.54,9.81,0.81,10.2,0.4,9.33,0.67
8.95,0.56,14.3,3.2,18.2,1.5,8.55,0.52,304.9,9.9,7.46,0.82,9.3,0.7,7.43,0.38,7.5,0.9,9.45,0.87,9.81,0.52,10.3,0.5,9.34,0.78
8.95,0.48,14.3,1.0,18.2,1.1,8.58,0.7,305.0,14.0,7.47,0.43,9.3,0.9,7.44,0.97,7.5,0.8,9.5,0.29,9.89,0.61,10.3,0.6,9.36,0.9
9.0,1.14,14.4,0.8,18.2,0.7,8.6,0.93,305.1,17.5,7.51,0.8,9.3,0.7,7.45,0.76,7.5,0.5,9.54,0.48,9.9,0.7,10.4,0.6,9.37,0.39
9.03,0.67,14.4,1.0,18.2,1.0,8.61,0.64,305.5,13.1,7.64,0.37,9.3,0.4,7.5,0.88,7.5,0.6,9.56,0.83,9.92,0.56,10.5,0.8,9.38,0.74
9.2,1.27,14.5,0.6,18.3,1.5,8.63,0.72,305.6,9.5,7.66,0.47,9.3,0.6,7.51,0.75,7.5,0.7,9.6,0.59,9.93,0.49,10.5,0.9,9.41,0.49
9.22,0.56,14.5,1.3,18.3,1.3,8.67,0.81,305.6,16.3,7.72,0.57,9.4,1.2,7.51,0.71,7.5,0.6,9.61,0.56,10.0,0.9,10.5,0.6,9.44,0.47
9.24,0.69,14.6,1.0,18.4,0.7,8.73,0.66,305.6,9.4,7.75,0.42,9.4,0.6,7.54,0.34,7.6,0.5,9.65,0.62,10.0,0.8,11.1,0.5,9.45,0.65
9.25,0.51,14.7,1.2,18.7,1.0,8.84,0.91,305.8,15.5,7.77,0.92,9.4,1.1,7.55,0.34,7.6,0.7,9.65,0.76,10.1,0.5,11.4,0.5,9.47,0.52
9.3,0.98,14.8,0.9,18.8,0.7,8.87,0.45,305.9,15.5,7.79,2.72,9.4,0.9,7.55,0.61,7.6,0.8,9.66,0.46,10.2,0.6,12.2,0.5,9.47,0.78
9.39,0.91,14.9,1.9,18.8,0.8,8.9,0.74,306.1,8.4,7.8,0.29,9.4,1.0,7.56,0.34,7.7,0.7,9.67,0.7,10.3,0.9,12.8,0.6,9.48,0.83
9.42,0.64,14.9,0.9,18.9,1.3,9.01,0.95,306.2,12.0,7.83,0.62,9.4,0.6,7.56,0.88,7.7,0.6,9.71,0.55,10.3,0.8,12.9,0.5,9.51,0.57
9.47,1.56,15.0,1.1,19.1,0.7,9.1,0.74,306.2,11.1,7.84,0.64,9.6,0.5,7.58,0.34,7.7,0.8,9.73,0.4,10.3,0.6,13.0,0.9,9.51,1.13
9.47,0.8,15.1,1.3,19.3,0.9,9.12,0.78,306.2,14.3,7.85,0.42,9.6,0.8,7.58,0.41,7.7,0.8,9.73,0.8,10.4,1.0,13.1,0.6,9.53,0.51
9.55,0.97,15.2,2.3,19.3,0.9,9.16,1.07,306.4,12.6,7.88,0.7,9.6,1.4,7.64,0.32,7.7,0.9,9.74,0.4,11.2,0.7,13.3,1.5,9.54,0.38
9.63,1.1,15.3,0.8,20.0,1.3,9.18,0.99,306.4,8.9,7.93,0.61,9.6,1.2,7.65,0.6,7.8,0.6,9.75,0.51,12.0,0.4,13.5,0.5,9.54,0.27
9.64,0.42,15.3,1.0,20.0,1.0,9.22,0.79,306.5,11.2,7.95,0.73,9.6,1.0,7.69,0.5,7.8,0.7,9.82,0.84,12.0,0.3,13.6,0.8,9.59,0.57
9.65,1.12,15.4,1.4,20.4,2.1,9.26,0.7,306.5,11.6,7.97,0.7,9.7,0.7,7.74,0.54,7.8,0.3,9.82,0.65,12.2,0.4,13.6,0.5,9.6,0.63
9.7,1.44,15.4,1.6,20.7,2.2,9.27,0.68,306.6,10.6,7.97,0.6,9.7,1.0,7.79,0.6,7.8,0.8,9.86,0.49,13.4,0.5,13.7,0.7,9.6,0.47
9.7,1.28,15.7,1.6,39.3,2.5,9.28,0.88,306.6,11.3,7.98,0.94,9.7,1.3,7.81,0.32,7.9,0.9,9.86,0.33,13.5,1.3,13.7,0.6,9.72,0.75
9.79,0.27,15.8,1.5,70.8,3.0,9.43,0.5,307.0,13.5,8.0,0.5,9.8,1.1,7.84,0.69,7.9,0.7,9.87,1.06,13.7,1.1,13.7,1.2,9.74,1.09
9.81,0.9,15.8,0.6,146.7,6.0,9.5,1.02,307.0,10.4,8.0,0.62,9.8,0.8,7.87,0.87,7.9,0.8,9.93,0.35,13.8,0.5,13.9,1.4,9.74,0.62
9.83,1.04,15.9,0.9,147.3,10.7,9.55,0.75,307.1,12.8,8.01,0.79,9.8,0.8,7.88,0.33,8.0,0.4,10.0,0.5,13.9,0.6,14.0,0.8,9.94,0.31
9.9,0.43,16.0,1.1,148.6,6.1,9.72,0.79,307.1,10.4,8.02,0.42,9.9,0.9,7.89,0.48,8.0,0.8,10.3,0.5,14.1,0.4,14.2,0.8,9.99,0.56
9.92,1.05,16.0,0.9,150.0,6.3,9.74,0.53,307.1,10.5,8.03,0.72,9.9,0.4,7.91,0.84,8.1,0.7,10.4,0.8,14.2,0.7,14.2,0.8,10.0,0.9
9.93,1.14,16.1,1.0,1204.1,60.9,9.76,0.87,307.1,10.6,8.03,0.58,9.9,0.7,8.03,0.57,8.1,0.4,10.5,0.7,14.2,1.1,14.3,1.4,10.1,0.9
10.1,0.9,16.3,1.2,,,9.78,0.68,307.2,10.5,8.05,0.9,9.9,1.0,8.04,1.55,8.1,0.7,10.6,0.7,14.2,0.6,14.6,0.7,10.2,0.4
10.2,0.8,16.7,0.8,,,9.82,0.54,307.2,19.2,8.08,0.46,9.9,1.0,8.06,0.69,8.2,0.4,11.2,0.4,14.3,0.5,14.7,1.4,10.2,0.4
10.2,0.7,16.7,1.8,,,9.88,0.54,307.2,11.5,8.09,0.57,10.0,0.8,8.07,0.51,8.3,0.8,11.4,0.5,14.4,1.2,14.9,1.2,10.2,0.4
10.5,1.2,16.8,1.3,,,9.93,0.8,307.5,11.7,8.09,0.7,10.0,1.7,8.08,0.72,8.4,0.7,11.6,0.7,14.4,0.6,15.0,1.3,10.5,0.5
10.9,1.8,16.8,1.0,,,10.1,0.6,307.6,10.5,8.14,0.43,10.0,0.9,8.12,0.5,8.5,0.6,11.9,0.6,14.5,0.8,15.0,1.4,11.0,0.7
10.9,1.2,16.8,1.2,,,10.1,0.5,307.6,11.2,8.15,0.81,10.0,1.0,8.16,1.03,8.5,0.7,12.3,0.5,14.6,1.5,15.1,1.0,11.7,0.7
11.1,6.6,16.8,0.8,,,10.3,0.7,307.6,13.0,8.16,0.85,10.1,1.0,8.18,0.71,9.4,1.0,12.3,0.5,14.6,1.4,16.1,0.7,11.8,0.7
11.6,7.0,16.9,1.2,,,10.4,0.8,307.7,11.2,8.2,0.54,10.2,1.4,8.19,0.63,9.6,0.7,12.9,0.4,14.9,0.7,16.8,0.9,12.5,0.5
11.8,2.7,17.0,1.3,,,10.4,1.0,307.9,12.2,8.27,0.6,10.2,0.5,8.2,0.56,9.7,0.5,12.9,0.9,15.2,1.0,16.9,0.7,13.1,0.4
11.9,2.7,17.0,1.6,,,10.4,1.0,308.2,11.0,8.31,0.72,10.3,0.8,8.2,0.58,9.7,0.7,13.1,0.4,15.6,1.4,17.1,1.0,13.8,1.1
12.4,1.1,17.0,0.7,,,10.5,1.0,308.2,11.0,8.35,0.72,10.5,0.8,8.21,0.69,9.7,0.7,13.1,0.5,16.5,0.4,17.6,0.8,13.9,0.7
13.0,0.8,17.0,0.8,,,10.6,1.0,308.2,14.1,8.38,0.73,10.6,1.6,8.23,0.83,9.7,0.8,13.6,0.7,17.8,1.0,17.8,0.8,14.0,0.7
13.0,1.6,17.1,0.9,,,10.7,0.9,308.3,11.0,8.38,0.65,10.8,1.7,8.23,1.21,9.8,0.7,13.7,0.6,18.2,0.6,18.0,0.6,14.0,1.0
13.8,1.6,17.1,1.1,,,10.7,1.2,308.6,10.6,8.38,0.64,10.9,0.6,8.23,1.46,9.8,0.6,13.8,0.8,18.3,0.6,18.4,1.1,14.1,0.7
14.3,1.1,17.1,1.9,,,10.9,1.1,308.7,15.0,8.38,0.37,11.3,0.3,8.24,0.62,9.8,0.7,13.8,0.6,18.4,1.0,18.4,1.0,14.3,1.5
14.3,1.4,17.1,1.1,,,11.0,1.0,308.8,9.1,8.41,0.56,11.8,0.5,8.24,0.65,9.8,0.7,13.9,0.8,18.7,0.6,18.6,0.5,14.5,1.5
14.4,1.1,17.2,0.9,,,11.4,1.2,308.8,17.9,8.44,0.85,11.8,1.3,8.27,0.4,9.9,0.6,13.9,0.8,19.1,1.0,18.6,0.8,14.5,1.0
14.5,1.8,17.3,1.3,,,12.3,0.5,308.8,11.7,8.44,0.51,11.8,0.6,8.28,0.53,9.9,0.9,14.0,0.5,19.4,1.1,18.7,0.7,14.6,0.4
14.5,1.7,17.3,1.0,,,12.9,1.0,308.9,10.0,8.49,0.77,12.0,0.5,8.29,0.52,9.9,0.8,14.1,0.8,19.4,1.0,18.7,1.5,15.4,0.5
14.7,0.8,17.4,1.1,,,13.2,1.4,309.0,17.5,8.52,0.43,12.0,0.6,8.29,0.7,9.9,0.4,14.2,0.5,19.4,0.4,18.8,0.9,15.7,0.8
14.9,0.5,17.4,1.1,,,13.3,1.1,309.1,10.1,8.52,0.6,12.1,1.0,8.36,0.55,10.0,0.5,14.4,0.8,19.5,0.6,18.9,1.0,16.3,0.9
15.1,1.5,17.4,1.7,,,14.1,0.9,309.4,17.7,8.53,1.35,12.2,0.7,8.4,0.6,10.0,0.8,14.4,0.4,19.6,1.0,19.0,0.6,16.3,0.9
16.3,1.2,17.4,1.1,,,14.2,0.8,309.4,9.0,8.53,1.07,12.4,0.7,8.43,0.5,10.0,0.4,14.6,0.4,19.7,1.1,19.1,0.9,16.7,0.5
16.4,1.0,17.5,1.0,,,14.2,0.7,309.4,9.5,8.54,0.96,12.5,1.0,8.44,0.79,10.0,0.7,14.7,0.8,19.9,1.2,19.2,0.8,17.0,0.5
16.5,2.0,17.5,1.6,,,14.5,0.7,309.5,8.9,8.57,0.51,13.3,1.5,8.44,0.45,10.1,0.9,15.2,1.4,20.0,1.2,19.3,0.7,17.4,0.6
16.8,1.2,17.6,1.0,,,15.5,1.4,309.5,11.9,8.61,0.29,13.3,1.3,8.48,0.7,10.1,0.9,15.2,0.3,20.0,1.2,19.6,0.8,18.1,0.5
17.1,0.6,17.6,2.5,,,15.6,1.0,309.6,15.1,8.63,1.07,13.4,1.2,8.48,0.73,10.1,1.2,15.4,0.6,20.2,1.2,19.6,1.6,18.3,0.8
17.1,0.8,17.6,1.3,,,16.4,1.3,309.7,9.2,8.7,0.89,13.4,1.3,8.58,0.43,10.2,0.9,15.6,0.7,20.3,0.9,19.6,0.5,18.4,0.6
17.2,1.2,17.6,2.4,,,16.5,1.8,309.9,11.1,8.7,0.91,13.4,2.2,8.6,0.65,10.3,0.9,15.7,0.6,20.4,1.2,19.6,0.5,18.4,0.7
17.3,0.7,17.7,1.5,,,16.9,1.2,309.9,10.7,8.71,0.97,13.5,1.0,8.63,0.83,10.4,0.7,16.4,1.0,20.8,1.6,19.7,1.4,18.5,0.6
17.4,1.1,17.7,1.3,,,17.7,0.8,310.1,7.9,8.72,0.44,13.7,0.8,8.63,0.7,10.4,0.6,16.8,0.4,21.0,1.4,19.7,1.2,18.5,0.6
17.5,1.1,17.7,0.9,,,18.4,1.8,310.6,12.1,8.72,0.74,13.7,0.6,8.65,0.47,10.4,0.7,16.8,1.0,70.7,2.6,20.3,1.4,18.5,0.5
17.5,1.2,17.8,1.6,,,18.5,1.1,310.9,13.3,8.76,0.83,13.8,0.7,8.65,0.85,10.4,0.7,16.9,1.2,83.0,2.6,20.4,1.1,18.6,0.6
17.5,1.6,17.9,1.5,,,18.6,0.9,310.9,8.0,8.78,0.77,13.8,1.3,8.65,0.35,10.5,0.5,17.0,0.6,83.3,3.0,20.5,0.6,18.8,0.7
17.5,1.3,17.9,1.0,,,77.4,6.0,310.9,8.9,8.79,0.76,14.0,1.0,8.66,1.15,10.5,1.0,17.0,0.8,84.2,3.5,20.5,1.0,19.0,0.8
17.6,1.5,17.9,1.2,,,88.7,5.8,311.1,11.8,8.79,0.69,14.0,0.9,8.68,0.57,10.5,0.6,17.5,0.6,87.5,2.3,20.7,1.4,19.1,0.9
17.6,1.0,17.9,1.8,,,89.9,9.2,311.3,16.5,8.89,1.23,14.0,1.2,8.71,0.74,10.5,0.7,17.6,0.7,88.1,4.7,20.7,1.3,19.1,1.1
17.7,1.9,18.0,1.7,,,91.0,4.6,311.3,11.1,8.89,0.59,14.0,1.9,8.74,0.98,10.6,0.9,17.7,0.8,90.0,3.1,21.4,1.0,19.3,0.6
17.9,1.0,18.0,1.4,,,93.0,4.7,311.4,9.7,8.9,0.85,14.0,0.9,8.77,0.88,10.6,1.0,17.8,1.3,92.6,7.2,21.7,1.1,19.4,0.9
18.0,1.2,18.0,1.5,,,95.5,4.2,311.4,10.6,8.99,0.63,14.0,0.9,8.81,0.76,10.7,1.1,18.1,1.6,93.2,4.0,23.4,1.2,19.4,1.2
18.1,0.8,18.0,1.9,,,98.7,7.1,311.5,13.7,9.03,0.91,14.0,1.4,8.81,0.51,12.7,0.6,18.4,0.9,93.8,3.2,37.9,1.3,19.4,1.1
18.2,0.7,18.1,2.1,,,99.2,7.8,311.5,10.4,9.15,0.8,14.0,1.3,8.81,0.64,12.8,1.5,18.4,1.2,95.0,3.9,73.0,3.0,19.4,1.1
18.2,1.2,18.1,0.8,,,99.5,4.9,311.5,10.3,9.18,0.76,14.1,0.9,8.81,1.01,13.3,1.0,18.5,0.8,95.1,2.5,84.5,4.2,19.4,0.6
18.5,1.3,18.2,2.1,,,99.7,5.5,311.8,12.0,9.19,0.56,14.1,0.7,8.82,0.68,14.9,1.2,18.5,0.7,95.4,3.8,92.1,3.1,19.6,1.2
18.9,3.3,18.2,1.8,,,100.4,2.7,311.8,12.5,9.2,0.46,14.1,1.0,8.83,0.64,15.7,1.0,18.7,1.5,96.2,4.3,98.8,4.1,19.9,1.2
21.6,5.4,18.3,1.3,,,100.7,5.6,311.8,11.0,9.23,1.63,14.2,1.4,8.84,0.39,17.0,1.4,18.7,0.8,96.9,3.9,134.4,3.8,19.9,0.7
80.1,4.0,18.3,1.5,,,100.8,5.6,312.1,9.6,9.32,1.09,14.2,1.2,8.86,0.97,17.1,0.7,18.8,1.3,98.9,2.3,152.6,4.7,20.1,1.3
83.4,4.5,18.3,1.5,,,100.9,5.7,312.1,10.4,9.45,0.98,14.2,1.4,8.86,0.93,17.2,1.2,18.8,0.4,100.1,4.5,156.7,6.4,20.4,0.9
84.3,5.1,18.5,1.8,,,101.8,4.4,312.2,9.3,9.46,0.7,14.2,1.2,8.95,0.46,17.3,1.1,19.6,0.8,100.4,5.2,157.5,4.0,20.6,1.3
85.8,4.9,19.1,1.9,,,101.9,3.1,312.3,12.9,9.5,0.92,14.2,1.2,8.96,0.8,17.7,1.2,19.8,1.5,102.0,6.8,160.4,3.8,21.8,0.7
92.2,6.0,19.4,1.7,,,102.5,4.4,312.3,12.9,9.56,0.72,14.2,0.9,9.01,0.58,20.5,1.6,20.0,0.9,103.0,3.4,412.3,15.6,29.8,1.0
101.9,3.9,19.9,1.6,,,102.9,5.1,312.4,9.7,9.59,0.55,14.3,1.1,9.03,0.89,21.2,1.0,20.2,0.9,103.4,3.1,,,35.7,1.6
107.4,6.2,20.7,2.0,,,103.6,2.8,313.0,12.9,9.6,0.73,14.3,0.9,9.05,1.17,21.5,0.6,20.2,0.6,104.1,4.1,,,73.0,2.5
107.5,3.2,42.8,25.6,,,103.6,5.0,313.1,8.6,9.61,0.55,14.3,0.7,9.07,1.69,22.4,2.4,20.4,0.7,104.7,3.7,,,73.8,2.5
108.7,3.0,47.1,17.2,,,104.1,4.0,313.1,11.0,9.61,0.68,14.4,1.9,9.07,0.92,25.5,2.7,21.3,1.1,105.1,3.5,,,89.2,4.3
110.6,2.9,54.0,3.0,,,104.2,5.0,313.1,11.6,9.62,0.69,14.4,0.7,9.08,1.2,39.1,2.1,21.4,0.8,105.3,3.5,,,96.0,5.8
111.5,4.2,61.7,1.9,,,104.3,4.0,313.2,15.0,9.63,0.98,14.4,0.8,9.08,0.9,84.2,3.8,37.4,1.5,105.6,3.2,,,101.8,3.6
114.4,5.2,61.9,3.7,,,104.3,4.6,313.5,11.6,9.64,0.53,14.4,1.2,9.14,0.54,85.9,5.4,70.0,2.7,105.8,3.1,,,106.9,4.0
153.1,4.9,62.3,1.5,,,104.6,4.2,313.5,12.6,9.65,0.63,14.4,1.3,9.22,1.82,93.4,6.4,83.0,3.7,106.0,4.7,,,149.5,6.3
153.5,4.3,63.0,3.5,,,104.6,4.9,313.7,10.1,9.67,0.8,14.5,1.1,9.24,0.95,93.8,5.4,85.0,3.2,106.2,2.7,,,160.6,5.9
153.5,4.0,63.6,2.9,,,104.9,6.7,313.7,16.8,9.71,0.69,14.6,0.7,9.3,1.01,97.3,6.9,85.5,3.1,106.2,3.7,,,165.3,4.9
154.9,3.6,66.9,2.7,,,105.0,5.8,313.7,9.2,9.72,0.5,14.7,1.3,9.32,0.91,97.3,5.3,86.9,4.3,107.3,4.6,,,299.8,9.4
155.9,3.4,71.6,3.7,,,105.4,6.1,313.9,7.9,9.73,0.49,14.7,1.5,9.4,0.92,109.4,6.4,90.9,4.0,107.4,4.3,,,364.6,10.2
155.9,4.8,74.4,4.7,,,105.6,10.1,314.0,16.9,9.75,0.62,14.7,1.0,9.41,0.99,150.5,7.9,91.9,4.5,107.4,3.4,,,,
156.3,5.9,77.5,3.5,,,105.6,5.9,314.1,12.7,9.76,0.93,14.8,1.1,9.42,0.74,160.2,6.9,97.2,4.0,107.5,5.9,,,,
156.3,4.6,79.7,4.3,,,105.8,3.4,314.1,12.1,9.8,0.8,14.8,1.1,9.42,1.33,168.2,8.2,149.1,6.4,107.7,2.4,,,,
156.3,6.6,79.9,3.6,,,105.8,3.5,314.3,12.4,9.81,0.81,14.8,0.6,9.46,0.59,170.6,7.7,162.7,4.5,108.7,5.0,,,,
157.5,4.9,80.7,4.1,,,105.9,5.6,314.5,17.7,9.83,0.82,14.8,0.7,9.47,1.18,,,170.1,15.3,109.0,1.6,,,,
158.4,7.5,80.8,2.7,,,106.0,5.6,314.5,9.9,9.83,0.81,14.8,1.8,9.48,1.48,,,308.2,9.4,109.8,5.1,,,,
158.6,3.2,81.2,4.2,,,106.2,4.8,314.5,12.0,9.84,0.69,14.9,1.1,9.5,0.76,,,319.0,7.9,113.9,4.8,,,,
159.0,5.4,81.9,4.4,,,106.2,4.9,314.6,10.2,9.93,1.31,15.0,1.1,9.63,0.64,,,,,113.9,4.4,,,,
159.2,4.7,82.9,3.9,,,106.8,4.9,314.6,13.0,9.95,0.92,15.1,0.9,9.63,0.55,,,,,119.0,4.8,,,,
159.5,5.0,83.1,3.5,,,108.1,3.8,314.6,9.7,9.96,0.65,15.2,1.0,9.63,0.97,,,,,120.5,3.1,,,,
160.2,8.5,86.5,4.6,,,124.1,5.4,314.8,16.2,10.0,1.0,15.2,1.3,9.69,5.81,,,,,137.5,3.5,,,,
160.4,6.8,94.2,27.4,,,146.3,7.5,315.0,9.6,10.0,1.2,15.5,0.9,9.76,0.89,,,,,147.1,3.1,,,,
160.5,4.5,100.1,5.1,,,146.5,5.2,315.1,9.8,10.1,0.9,15.7,1.5,9.79,0.98,,,,,154.6,3.5,,,,
160.5,10.0,110.7,5.0,,,151.8,6.9,315.4,15.5,10.1,1.6,15.7,1.9,9.81,0.54,,,,,162.5,5.1,,,,
160.6,7.7,114.3,6.2,,,155.6,8.4,315.5,9.3,10.2,0.7,15.7,1.0,9.82,0.51,,,,,162.9,4.9,,,,
160.7,5.3,114.3,4.5,,,155.9,5.8,316.0,12.7,10.2,1.1,16.2,1.1,9.84,0.6,,,,,163.9,6.1,,,,
160.8,5.4,116.5,6.1,,,158.0,6.0,316.6,10.7,10.2,0.7,16.3,0.7,9.85,0.35,,,,,164.3,4.2,,,,
160.9,3.7,117.7,6.1,,,161.0,4.8,316.8,18.7,10.4,0.7,16.5,0.7,9.87,0.73,,,,,166.0,6.0,,,,
161.0,5.6,123.7,6.2,,,164.8,5.8,316.9,10.9,10.4,0.8,17.2,0.8,9.91,0.63,,,,,169.3,4.6,,,,
161.3,6.4,126.4,3.9,,,165.2,5.6,317.0,8.8,10.5,0.7,17.4,1.3,10.0,0.5,,,,,207.6,8.6,,,,
161.7,7.6,128.2,4.7,,,167.6,6.6,317.2,8.8,10.5,0.6,17.6,1.4,10.0,2.3,,,,,210.0,5.5,,,,
161.7,5.3,155.0,5.4,,,246.4,16.9,317.3,12.6,11.8,0.5,18.5,1.3,10.1,0.8,,,,,210.1,6.6,,,,
161.7,9.2,155.9,10.8,,,287.7,15.6,317.8,10.2,12.3,0.5,18.6,2.0,10.1,0.8,,,,,293.8,11.2,,,,
161.9,2.9,159.4,6.0,,,298.2,13.7,317.9,12.2,12.3,0.6,19.7,1.5,10.2,0.8,,,,,303.5,7.4,,,,
162.0,5.4,160.1,9.0,,,299.4,11.2,317.9,14.8,12.4,1.0,19.8,1.9,10.2,0.6,,,,,309.4,10.1,,,,
162.1,8.6,161.3,5.4,,,300.0,10.4,318.0,13.1,12.6,0.8,20.1,1.7,10.2,0.9,,,,,311.2,7.6,,,,
162.1,3.6,162.4,5.9,,,301.9,9.7,318.0,13.1,12.6,0.9,20.2,1.4,10.2,0.8,,,,,312.3,7.9,,,,
162.2,10.5,163.0,7.5,,,302.9,11.1,318.2,10.5,13.3,0.5,20.6,1.2,10.3,1.8,,,,,312.8,9.4,,,,
162.3,5.9,163.4,6.9,,,306.9,11.1,318.3,16.6,13.3,0.5,20.8,0.7,10.3,0.7,,,,,315.0,11.6,,,,
162.6,6.8,164.2,5.6,,,307.5,8.6,319.2,11.0,13.3,0.8,20.9,1.1,10.3,0.5,,,,,318.4,6.6,,,,
162.7,3.9,164.2,5.2,,,308.8,13.1,319.3,13.5,13.5,1.1,21.6,1.3,10.3,1.0,,,,,320.2,9.7,,,,
162.7,6.1,165.1,7.2,,,309.1,12.5,319.9,10.8,13.5,0.9,21.6,1.3,10.3,1.0,,,,,372.7,11.6,,,,
162.9,4.3,165.8,6.3,,,324.9,10.9,320.4,7.9,13.6,1.2,69.8,4.4,10.3,0.7,,,,,413.4,12.2,,,,
162.9,6.1,166.0,4.9,,,461.2,17.8,321.0,14.6,13.7,0.7,83.6,5.7,10.5,0.5,,,,,540.3,20.1,,,,
163.1,4.3,166.4,8.2,,,619.9,24.5,321.3,11.0,13.7,1.3,85.2,6.0,10.5,0.6,,,,,833.5,19.3,,,,
163.3,6.1,166.5,4.8,,,2012.8,67.2,321.4,13.6,13.8,1.6,85.4,4.4,10.5,0.9,,,,,,,,,,
163.3,6.2,166.7,6.6,,,,,321.8,11.0,13.8,1.0,85.4,4.9,10.6,0.8,,,,,,,,,,
163.4,4.7,167.3,8.6,,,,,322.2,12.9,13.8,1.8,86.5,9.9,10.7,0.9,,,,,,,,,,
163.6,7.8,167.4,8.8,,,,,322.9,12.0,14.2,0.8,89.0,5.9,10.9,1.4,,,,,,,,,,
163.6,7.0,168.5,8.2,,,,,323.0,14.0,14.2,1.1,144.6,4.3,10.9,1.0,,,,,,,,,,
163.7,6.5,168.5,7.4,,,,,324.8,12.0,14.2,1.2,145.8,6.2,11.0,0.8,,,,,,,,,,
163.7,7.0,169.1,6.4,,,,,325.4,13.4,14.3,1.1,146.7,6.3,11.0,0.3,,,,,,,,,,
163.8,10.0,170.6,11.3,,,,,326.8,9.2,14.3,0.6,153.1,8.8,11.2,1.4,,,,,,,,,,
163.9,4.9,170.6,6.1,,,,,332.5,12.8,14.4,0.5,161.2,8.2,11.5,0.6,,,,,,,,,,
164.1,4.8,172.1,5.9,,,,,333.2,11.5,14.4,0.9,,,11.7,1.1,,,,,,,,,,
164.1,5.3,178.5,5.0,,,,,334.1,11.7,14.5,0.8,,,11.9,1.4,,,,,,,,,,
164.2,4.0,178.6,5.8,,,,,334.7,10.5,14.6,0.9,,,12.0,2.5,,,,,,,,,,
164.2,8.2,279.4,9.0,,,,,360.5,7.9,14.7,1.6,,,12.5,1.3,,,,,,,,,,
164.3,8.1,286.5,20.3,,,,,365.2,13.7,15.0,1.2,,,12.5,2.5,,,,,,,,,,
164.4,5.2,288.8,15.1,,,,,446.0,16.8,15.5,2.2,,,12.7,0.9,,,,,,,,,,
164.4,6.8,290.7,16.4,,,,,460.8,14.0,16.3,1.3,,,13.3,0.5,,,,,,,,,,
164.5,4.8,293.3,8.3,,,,,1165.1,94.4,16.8,0.8,,,13.5,0.7,,,,,,,,,,
164.7,7.8,294.1,9.8,,,,,,,17.7,1.5,,,15.0,4.1,,,,,,,,,,
164.9,7.3,299.9,8.4,,,,,,,18.4,1.0,,,15.0,0.7,,,,,,,,,,
164.9,6.8,300.3,10.8,,,,,,,18.5,1.2,,,15.7,0.6,,,,,,,,,,
165.1,6.8,300.9,9.6,,,,,,,18.5,2.9,,,16.8,1.0,,,,,,,,,,
165.1,6.1,301.9,8.7,,,,,,,18.6,0.8,,,16.9,1.1,,,,,,,,,,
165.2,7.8,301.9,13.9,,,,,,,18.7,1.5,,,17.6,1.2,,,,,,,,,,
165.6,4.4,303.1,10.5,,,,,,,18.8,1.0,,,18.0,0.9,,,,,,,,,,
165.7,5.5,303.7,12.3,,,,,,,18.9,1.0,,,18.0,1.2,,,,,,,,,,
165.8,5.1,305.5,18.9,,,,,,,18.9,1.3,,,18.1,0.9,,,,,,,,,,
165.9,3.9,305.5,8.8,,,,,,,19.0,0.9,,,18.1,1.7,,,,,,,,,,
166.1,6.6,306.2,6.0,,,,,,,19.1,2.2,,,18.3,1.1,,,,,,,,,,
166.2,5.7,308.0,10.5,,,,,,,19.9,0.6,,,18.7,1.0,,,,,,,,,,
166.4,7.8,308.5,10.5,,,,,,,19.9,1.7,,,18.8,1.2,,,,,,,,,,
166.5,6.7,309.1,10.7,,,,,,,20.6,0.9,,,18.9,0.8,,,,,,,,,,
166.5,4.8,309.4,11.8,,,,,,,20.6,1.5,,,18.9,1.1,,,,,,,,,,
166.6,4.7,309.4,10.1,,,,,,,20.8,0.7,,,19.4,1.1,,,,,,,,,,
168.1,4.6,309.5,10.5,,,,,,,21.1,5.1,,,19.7,1.0,,,,,,,,,,
168.2,11.4,310.2,8.9,,,,,,,21.7,1.4,,,19.7,1.4,,,,,,,,,,
168.9,5.7,310.4,11.8,,,,,,,22.5,1.0,,,19.9,1.2,,,,,,,,,,
169.7,5.8,311.6,25.1,,,,,,,24.6,6.0,,,20.0,0.8,,,,,,,,,,
172.6,8.5,311.8,6.0,,,,,,,31.7,16.1,,,20.4,5.5,,,,,,,,,,
217.5,8.2,313.6,9.3,,,,,,,36.3,2.5,,,22.2,2.1,,,,,,,,,,
300.4,9.8,315.3,11.1,,,,,,,55.8,19.9,,,32.2,19.3,,,,,,,,,,
301.7,7.2,315.9,11.1,,,,,,,80.8,4.9,,,88.1,5.6,,,,,,,,,,
302.7,8.4,318.6,13.8,,,,,,,82.2,3.3,,,94.2,7.1,,,,,,,,,,
