
Similarity
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.9999999992999999,0.7684014583978183,0.021294704956028726,0.8618070769214304,0.6138012907636463,0.8961883124176494,0.6853243995317573,0.8700861755615961,0.7395419667050529,0.8649660820674525,0.9042737334662752
CT-2,251,0.7684014583978183,0.9999999978999999,0.25359722461401796,0.8458630998088736,0.7013436209113041,0.82305321142436,0.7468151089935798,0.8330496231681486,0.8643534717410445,0.8305668765893224,0.8717789601584763
CT-3,267,0.021294704956028726,0.25359722461401796,0.9999999979000002,0.03912254347487905,0.03217695800441537,0.018934725880358404,0.05530482742862178,0.12393523941760329,0.2396022309452272,0.037868450618490555,0.09098560989459503
CT-4,308,0.8618070769214304,0.8458630998088736,0.03912254347487905,1.0003900185,0.8293736023782543,0.9593180306163226,0.7883438272881487,0.9353633259081571,0.8384761832736813,0.9360682676522731,0.9369519255611711
CT-5,259,0.6138012907636463,0.7013436209113041,0.03217695800441537,0.8293736023782543,1.0,0.725255608021558,0.8674026087822857,0.8419444223960101,0.7826329847712139,0.8368376783136768,0.7930451811076141
CT-6,299,0.8961883124176494,0.82305321142436,0.018934725880358404,0.9593180306163226,0.725255608021558,1.000634853,0.7168525715870414,0.8870467044638456,0.7886560857243283,0.8863911257460066,0.9096342691626939
CT-7,219,0.6853243995317573,0.7468151089935798,0.05530482742862178,0.7883438272881487,0.8674026087822857,0.7168525715870414,1.0000000001,0.802251218447132,0.7520380766554257,0.8022301928738728,0.7704427211026958
CT-8.2,222,0.8700861755615961,0.8330496231681486,0.12393523941760329,0.9353633259081571,0.8419444223960101,0.8870467044638456,0.802251218447132,0.9999999994999998,0.884912615923069,0.9578702262324799,0.9595940984948906
CT-9,250,0.7395419667050529,0.8643534717410445,0.2396022309452272,0.8384761832736813,0.7826329847712139,0.7886560857243283,0.7520380766554257,0.884912615923069,0.9999999995,0.8444716723062974,0.8792528018603167
CT-10,203,0.8649660820674525,0.8305668765893224,0.037868450618490555,0.9360682676522731,0.8368376783136768,0.8863911257460066,0.8022301928738728,0.9578702262324799,0.8444716723062974,1.0000000000999998,0.9521292906770433
CT-11,215,0.9042737334662752,0.8717789601584763,0.09098560989459503,0.9369519255611711,0.7930451811076141,0.9096342691626939,0.7704427211026958,0.9595940984948906,0.8792528018603167,0.9521292906770433,1.0000000003

Likeness
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0,0.5780261105,0.009507392099999956,0.6584143745,0.37884000615,0.70635360865,0.3910047819999999,0.6730082169,0.5102661767,0.6638624781,0.7561111839
CT-2,251,0.5780261105,1.0,0.07863072100000001,0.715189372,0.45043559754999996,0.67913115335,0.4766377088,0.6210301687,0.6393570646000001,0.630268958,0.6746892959999999
CT-3,267,0.009507392099999956,0.07863072100000001,1.0,0.012135627699999985,0.009727717949999937,0.008990782649999973,0.01843777830000004,0.022403290200000203,0.07160838280000004,0.019692751100000017,0.021559788500000066
CT-4,308,0.6584143745,0.715189372,0.012135627699999985,1.0,0.59124930165,0.81767221225,0.5238841035,0.7834995093,0.6727789569,0.7881656331,0.7907193335
CT-5,259,0.37884000615,0.45043559754999996,0.009727717949999937,0.59124930165,1.0,0.461408421,0.65364836785,0.60909530695,0.53141127885,0.6077767066499999,0.51915512245
CT-6,299,0.70635360865,0.67913115335,0.008990782649999973,0.81767221225,0.461408421,1.0,0.46507177234999986,0.69004949985,0.58501394785,0.68301479695,0.74867805195
CT-7,219,0.3910047819999999,0.4766377088,0.01843777830000004,0.5238841035,0.65364836785,0.46507177234999986,1.0,0.5333036933,0.47802000720000004,0.541597423,0.49214191669999996
CT-8.2,222,0.6730082169,0.6210301687,0.022403290200000203,0.7834995093,0.60909530695,0.69004949985,0.5333036933,1.0,0.7172805507,0.8375746456,0.8281529301
CT-9,250,0.5102661767,0.6393570646000001,0.07160838280000004,0.6727789569,0.53141127885,0.58501394785,0.47802000720000004,0.7172805507,1.0,0.6889240902,0.6506143530999999
CT-10,203,0.6638624781,0.630268958,0.019692751100000017,0.7881656331,0.6077767066499999,0.68301479695,0.541597423,0.8375746456,0.6889240902,1.0,0.8159657700999999
CT-11,215,0.7561111839,0.6746892959999999,0.021559788500000066,0.7907193335,0.51915512245,0.74867805195,0.49214191669999996,0.8281529301,0.6506143530999999,0.8159657700999999,1.0

Kolgomorov-Smirnov Dmax
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.0,0.22606940658418956,0.989675734279519,0.09338687628161313,0.2438528754318228,0.12709030100334448,0.27177962028358565,0.13916548127074443,0.2882105263157895,0.2014519056261343,0.12089963280293757
CT-2,251,0.22606940658418956,0.0,0.9130668337884418,0.2127722874734827,0.23181405651525172,0.2288638089781343,0.2943113391184122,0.21894404364523887,0.17767330677290838,0.215571212686201,0.21710367831001576
CT-3,267,0.989675734279519,0.9130668337884418,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9825560515109538,0.978236663629922,0.9045093632958802,0.980092618217376,0.9776500304851494
CT-4,308,0.09338687628161313,0.2127722874734827,0.9892626100491269,0.0,0.2378027378027378,0.10677366112148721,0.2512156792978711,0.14250614250614252,0.2436103896103896,0.15931482310792655,0.1321353065539112
CT-5,259,0.2438528754318228,0.23181405651525172,0.9886483594348763,0.2378027378027378,0.0,0.33469350860655206,0.27744574319916787,0.13706563706563707,0.2591969111969112,0.12328584742377846,0.137254197719314
CT-6,299,0.12709030100334448,0.2288638089781343,0.9895657184372377,0.10677366112148721,0.33469350860655206,0.0,0.3466043585162108,0.2147398234354756,0.3136321070234114,0.24139578562367167,0.21571128568095202
CT-7,219,0.27177962028358565,0.2943113391184122,0.9825560515109538,0.2512156792978711,0.27744574319916787,0.3466043585162108,0.0,0.30099962976675304,0.37583561643835617,0.30454146703556245,0.3049803546777105
CT-8.2,222,0.13916548127074443,0.21894404364523887,0.978236663629922,0.14250614250614252,0.13706563706563707,0.2147398234354756,0.30099962976675304,0.0,0.2289009009009009,0.07003062175475969,0.0798240100565682
CT-9,250,0.2882105263157895,0.17767330677290838,0.9045093632958802,0.2436103896103896,0.2591969111969112,0.3136321070234114,0.37583561643835617,0.2289009009009009,0.0,0.21966502463054188,0.22641860465116279
CT-10,203,0.2014519056261343,0.215571212686201,0.980092618217376,0.15931482310792655,0.12328584742377846,0.24139578562367167,0.30454146703556245,0.07003062175475969,0.21966502463054188,0.0,0.13254668346889678
CT-11,215,0.12089963280293757,0.21710367831001576,0.9776500304851494,0.1321353065539112,0.137254197719314,0.21571128568095202,0.3049803546777105,0.0798240100565682,0.22641860465116279,0.13254668346889678,0.0

Kolgomorov-Smirnov p-value
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,1.0,9.707404328277899e-05,1.6635913364966612e-113,0.3122399354564189,1.677847146962012e-05,0.06895560852234896,2.4341592714139337e-06,0.053794748940137214,1.966483358108094e-07,0.0013863682070791837,0.1333900599753097
CT-2,251,9.707404328277899e-05,1.0,2.5174430502936956e-116,5.596629803618224e-06,1.6324071489262016e-06,9.139818874569863e-07,1.890529965082268e-09,1.9035221598365678e-05,0.0006057483222638106,4.590959799094255e-05,2.7752002714726215e-05
CT-3,267,1.6635913364966612e-113,2.5174430502936956e-116,1.0,5.582496033372087e-164,3.307258451464213e-150,8.461274575570805e-162,6.161113816531325e-135,5.955635563486651e-134,3.052998379632497e-113,3.318650025055021e-128,1.4628489087270204e-131
CT-4,308,0.3122399354564189,5.596629803618224e-06,5.582496033372087e-164,1.0,1.7643516257590978e-07,0.0568413970229097,1.3372191178885645e-07,0.009300968121641662,1.0883480880700056e-07,0.003462175344855727,0.0213299791739196
CT-5,259,1.677847146962012e-05,1.6324071489262016e-06,3.307258451464213e-150,1.7643516257590978e-07,1.0,2.682165373129309e-14,1.4751727616188141e-08,0.020161687803027763,5.018573008570681e-08,0.05659252078121293,0.021095392050485228
CT-6,299,0.06895560852234896,9.139818874569863e-07,8.461274575570805e-162,0.0568413970229097,2.682165373129309e-14,1.0,5.277508796433411e-14,1.2221084240669086e-05,2.316609138056862e-12,1.098025337742774e-06,1.3605337889627296e-05
CT-7,219,2.4341592714139337e-06,1.890529965082268e-09,6.161113816531325e-135,1.3372191178885645e-07,1.4751727616188141e-08,5.277508796433411e-14,1.0,2.582855426321514e-09,3.141379056017675e-15,3.793422340664059e-09,1.901963974293727e-09
CT-8.2,222,0.053794748940137214,1.9035221598365678e-05,5.955635563486651e-134,0.009300968121641662,0.020161687803027763,1.2221084240669086e-05,2.582855426321514e-09,1.0,6.685658687884601e-06,0.6404130470159588,0.456598481775137
CT-9,250,1.966483358108094e-07,0.0006057483222638106,3.052998379632497e-113,1.0883480880700056e-07,5.018573008570681e-08,2.316609138056862e-12,3.141379056017675e-15,6.685658687884601e-06,1.0,3.1252617184896714e-05,1.0820012160371639e-05
CT-10,203,0.0013863682070791837,4.590959799094255e-05,3.318650025055021e-128,0.003462175344855727,0.05659252078121293,1.098025337742774e-06,3.793422340664059e-09,0.6404130470159588,3.1252617184896714e-05,1.0,0.04518773990276239
CT-11,215,0.1333900599753097,2.7752002714726215e-05,1.4628489087270204e-131,0.0213299791739196,0.021095392050485228,1.3605337889627296e-05,1.901963974293727e-09,0.456598481775137,1.0820012160371639e-05,0.04518773990276239,1.0

Kuiper Vmax
Label,n,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-1,152,0.0,0.2286642902075906,0.9962546816479401,0.11628503075871505,0.3215301767933346,0.12051135363492346,0.48245614035087714,0.15706495969653855,0.2898947368421053,0.18340031112263427,0.13029375764993872
CT-2,251,0.2286642902075906,0.0,0.9212737066714415,0.21277228747348265,0.3645187589410697,0.2288638089781343,0.4276228419654714,0.2416101360324468,0.18584860557768917,0.2786293250642749,0.23958121004354674
CT-3,267,0.9962546816479401,0.9212737066714415,0.0,0.9892626100491269,0.9886483594348763,0.9895657184372377,0.9817351598173516,0.978236663629922,0.9092734082397004,0.9789118281950517,0.9776500304851493
CT-4,308,0.11628503075871505,0.21277228747348265,0.9892626100491269,0.0,0.258950508950509,0.1101181427268384,0.4426406926406926,0.14186264186264194,0.23537662337662335,0.15785938199731292,0.13607671398369067
CT-5,259,0.3215301767933346,0.3645187589410697,0.9886483594348763,0.258950508950509,0.0,0.3282498934672848,0.2704289416618184,0.21750321750321752,0.3196138996138995,0.19105312208760483,0.2105055221334291
CT-6,299,0.12051135363492346,0.2288638089781343,0.9895657184372377,0.1101181427268384,0.3282498934672848,0.0,0.5195094760312151,0.21255536472927775,0.3136321070234114,0.24297741239270473,0.21236680407560082
CT-7,219,0.48245614035087714,0.4276228419654714,0.9817351598173516,0.4426406926406926,0.2704289416618184,0.5195094760312151,0.0,0.4054054054054054,0.44666666666666666,0.40065681444991785,0.3968992248062015
CT-8.2,222,0.15706495969653855,0.2416101360324468,0.978236663629922,0.14186264186264194,0.21750321750321752,0.21255536472927775,0.4054054054054054,0.0,0.23088288288288286,0.0708738294945192,0.07814791535721777
CT-9,250,0.2898947368421053,0.18584860557768917,0.9092734082397004,0.23537662337662335,0.3196138996138995,0.3136321070234114,0.44666666666666666,0.23088288288288286,0.0,0.23966502463054193,0.2374883720930233
